,Date,Open,High,Low,Close,Volume,Volume MA,Daily_Returns
0,1451934000,1.082215,1.08281,1.081575,1.08275,2075,5191.3,
1,1451952000,1.082405,1.08348,1.0818,1.08315,1126,4980.05,0.00036942969291153815
2,1451970000,1.082265,1.083455,1.08211,1.083155,1329,3961.3,4.616165812709738e-06
3,1451980800,1.08088,1.081845,1.078545,1.07897,7546,3771.35,-0.0038637129496702505
4,1451984400,1.07897,1.07987,1.077265,1.077385,7754,3690.05,-0.0014689935772078666
5,1451988000,1.077385,1.0785,1.07648,1.0768,8292,3644.25,-0.0005429813854843646
6,1451995200,1.0756,1.07651,1.07501,1.07515,5025,3118.15,-0.0015323179791975061
7,1451998800,1.07515,1.07567,1.07391,1.074215,6544,3256.4,-0.0008696460958936836
8,1452002400,1.074215,1.075735,1.073835,1.073915,7431,3500.5,-0.000279273702191829
9,1452006000,1.073915,1.074285,1.071065,1.072185,8042,3798.85,-0.001610928239199616
10,1452013200,1.074225,1.074865,1.07332,1.074565,2684,3967.4,0.002219766178411353
11,1452027600,1.075045,1.075565,1.07465,1.074845,827,4029.45,0.00026057055645778426
12,1452042000,1.07443,1.0773,1.07393,1.07615,4441,4182.45,0.001214128548767457
13,1452056400,1.074925,1.075035,1.07414,1.074465,1028,3506.75,-0.0015657668540630665
14,1452063600,1.07455,1.07488,1.071925,1.07295,5532,3177.0,-0.0014100040485264254
15,1452070800,1.07354,1.073665,1.07203,1.07347,5385,3174.6,0.00048464513723822655
16,1452078000,1.07355,1.075215,1.07329,1.07488,5175,2866.3,0.0013134973497164193
17,1452085200,1.07431,1.07561,1.07163,1.07393,9559,3182.6,-0.0008838195891633926
18,1452088800,1.07393,1.07589,1.07332,1.07556,9837,3569.45,0.0015177898000799939
19,1452092400,1.07556,1.07672,1.074035,1.07452,9843,3978.3,-0.0009669381531483001
20,1452099600,1.07613,1.07624,1.07534,1.075495,2444,4231.05,0.0009073819007558992
21,1452106800,1.075545,1.07996,1.07473,1.07887,10039,4736.75,0.0031380899027888542
22,1452121200,1.077465,1.07813,1.077355,1.077685,891,4540.6,-0.0010983714441962222
23,1452128400,1.077785,1.081025,1.07749,1.080265,6605,4822.1,0.002394020516199191
24,1452139200,1.08188,1.082535,1.081555,1.08236,1503,4493.6,0.001939338958496295
25,1452150000,1.08168,1.0822,1.0782,1.078355,7064,4265.8,-0.0037002476070808754
26,1452153600,1.078355,1.08082,1.07712,1.080735,7276,4408.25,0.00220706539126736
27,1452157200,1.080735,1.086975,1.080735,1.08461,11098,4485.2,0.0035855228154912933
28,1452160800,1.08461,1.085965,1.08348,1.083745,6901,4338.4,-0.0007975216898240545
29,1452164400,1.083745,1.087475,1.083745,1.086675,6835,4188.0,0.0027035880211674357
30,1452171600,1.08584,1.08726,1.08562,1.085865,7238,4454.1,-0.0007453930568016576
